"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-01","9.17",",,W",,,"0.63",",,W",,,,,,,"34",",,W","30",",,W","   40",",,W","   70",",,W","18.1",",,W","25.9",",,W","    1",",,W",,,,,,
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-02","3.36",",,W",,,"0.01",",,W",,,,,,,"34",",,W","31",",,W","  280",",,W","  300",",,W","8.9",",,W","11.0",",,W","    1",",,W",,,,,,
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-03","4.92",",,W",,,"0.00","T,,W",,,,,,,"34",",,W","26",",,W","  250",",,W","  240",",,W","13.0",",,W","21.0",",,W","    1",",,W",,,,,"    1",",,W"
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-04","5.37",",,W",,,"0.00",",,W","0.0",",,W","0.0",",,W",,,"38",",,W","31",",,W","  290",",,W","  280",",,W","18.1",",,W","25.9",",,W","    1",",,W","    1",",,W",,,,
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-05","2.46",",,W",,,"0.00",",,W","0.0",",,W","0.0",",,W",,,"51",",,W","23",",,W","  280",",,W","  280",",,W","10.1",",,W","16.1",",,W","    1",",,W","    1",",,W",,,,
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-06","6.71",",,W",,,"0.00",",,W","0.0",",,W","0.0",",,W",,,"46",",,W","27",",,W","   80",",,W","   90",",,W","14.1",",,W","19.9",",,W",,,,,,,"    1",",,W"
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-07","9.84",",,W",,,"0.00",",,W","0.0",",,W","0.0",",,W",,,"38",",,W","33",",,W","   40",",,W","   30",",,W","15.0",",,W","19.9",",,W",,,,,,,,
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-08","8.72",",,W",,,"0.00",",,W","0.0",",,W","0.0",",,W",,,"35",",,W","32",",,W","  330",",,W","  360",",,W","14.1",",,W","17.0",",,W",,,,,,,"    1",",,W"
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-09","6.71",",,W",,,"0.00",",,W","0.0",",,W","0.0",",,W",,,"32",",,W","29",",,W","  340",",,W","  330",",,W","12.1",",,W","17.0",",,W",,,,,,,"    1",",,W"
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-10","5.82",",,W",,,"0.00",",,W","0.0",",,W","0.0",",,W",,,"30",",,W","28",",,W","  340",",,W","  320",",,W","12.1",",,W","15.0",",,W",,,,,,,"    1",",,W"
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-11","4.70",",,W",,,"0.00",",,W","0.0",",,W","0.0",",,W",,,"36",",,W","23",",,W","  240",",,W","  220",",,W","12.1",",,W","16.1",",,W",,,,,,,"    1",",,W"
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-12","8.95",",,W",,,"0.00",",,W","0.0",",,W","0.0",",,W",,,"54",",,W","27",",,W","  240",",,W","  240",",,W","17.0",",,W","25.1",",,W",,,,,,,"    1",",,W"
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-13","8.28",",,W",,,"0.00",",,W","0.0",",,W","0.0",",,W",,,"54",",,W","30",",,W","  240",",,W","  250",",,W","16.1",",,W","23.0",",,W",,,,,,,,
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-14","8.50",",,W",,,"0.08",",,W",,,"0.0",",,W",,,"50",",,W","34",",,W","  270",",,W","  280",",,W","25.1",",,W","38.9",",,W","    1",",,W",,,,,,
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-15","10.96",",,W",,,"0.03",",,W",,,"0.0",",,W",,,"36",",,W","33",",,W","  220",",,W","  220",",,W","19.9",",,W","29.1",",,W","    1",",,W",,,,,,
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-16","8.95",",,W",,,"0.00","T,,W",,,,,,,"35",",,W","30",",,W","  250",",,W","  240",",,W","17.0",",,W","23.9",",,W",,,,,,,"    1",",,W"
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-17","8.05",",,W",,,"0.00","T,,W",,,,,,,"39",",,W","30",",,W","  280",",,W","  320",",,W","19.9",",,W","25.9",",,W","    1",",,W",,,,,,
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-18","4.70",",,W",,,"0.00","T,,W","0.0",",,W","0.0",",,W",,,"43",",,W","26",",,W","  250",",,W","  240",",,W","12.1",",,W","16.1",",,W",,,,,,,,
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-19","7.16",",,W",,,"0.00",",,W","0.0",",,W","0.0",",,W",,,"40",",,W","29",",,W","  310",",,W","  300",",,W","18.1",",,W","27.1",",,W","    1",",,W","    1",",,W",,,"    1",",,W"
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-20","7.83",",,W",,,"0.00",",,W","0.0",",,W","0.0",",,W",,,"50",",,W","19",",,W","  220",",,W","  210",",,W","17.0",",,W","25.1",",,W",,,,,,,,
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-21","6.04",",,W",,,"0.00",",,W","0.0",",,W","0.0",",,W",,,"54",",,W","26",",,W","  230",",,W","  220",",,W","16.1",",,W","21.9",",,W",,,,,,,,
"USW00003966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","38.65752","-90.65577","139.5","2021-01-22","6.93",",,W",,,"0.00",",,W","0.0",",,W","0.0",",,W",,,"38",",,W","19",",,W","   10",",,W","  330",",,W","14.1",",,W","19.9",",,W",,,,,,,,
