,DATE,STATION,TMAX,TMIN,SNOW,PRCP
0,2021-01-01,USW00003960,   17,  -10,,
1,2021-01-02,USW00003960,   11,    0,,
2,2021-01-03,USW00003960,   44,  -38,    0,    0
3,2021-01-04,USW00003960,   39,  -27,    0,    0
4,2021-01-05,USW00003960,  106,  -16,    0,    0
5,2021-01-06,USW00003960,   67,  -21,    0,    0
6,2021-01-07,USW00003960,   39,    0,    0,    0
7,2021-01-08,USW00003960,   17,    6,    0,    0
8,2021-01-09,USW00003960,    6,  -16,    0,    0
9,2021-01-10,USW00003960,  -16,  -21,    0,    0
10,2021-01-11,USW00003960,   17,  -43,    0,    0
11,2021-01-12,USW00003960,  117,  -60,    0,    0
12,2021-01-13,USW00003960,  111,   -5,    0,    0
13,2021-01-14,USW00003960,   89,    0,,   23
14,2021-01-15,USW00003960,   22,    0,,   18
15,2021-01-16,USW00003960,   28,    6,,    0
16,2021-01-17,USW00003960,   33,   -5,,    3
17,2021-01-18,USW00003960,   67,  -27,    0,    0
18,2021-01-19,USW00003960,   67,  -49,    0,    0
19,2021-01-20,USW00003960,   78,  -60,    0,    0
20,2021-01-21,USW00003960,  122,  -10,    0,    0
21,2021-01-22,USW00003960,   33,  -55,    0,    0
22,2021-01-23,USW00003960,   44,  -82,,    0
23,2021-01-24,USW00003960,   50,    6,    0,    8
24,2021-01-25,USW00003960,   33,   11,    0,  363
25,2021-01-26,USW00003960,   44,  -10,    0,    0
26,2021-01-27,USW00003960,   -5,  -49,,   23
27,2021-01-28,USW00003960,   -5, -105,    0,    0
28,2021-01-29,USW00003960,   33,  -82,    0,    0
29,2021-01-30,USW00003960,   67,    6,,  302
30,2021-01-31,USW00003960,   83,    6,,    3
31,2021-02-01,USW00003960,   11,   -5,    0,    0
32,2021-02-02,USW00003960,   39,  -38,    0,    0
33,2021-02-03,USW00003960,   67,  -55,    0,    0
34,2021-02-04,USW00003960,   72,  -27,,   74
35,2021-02-05,USW00003960,   67,  -38,    0,    0
36,2021-02-06,USW00003960,   -5,  -88,,    0
37,2021-02-07,USW00003960,  -82, -143,,    0
38,2021-02-08,USW00003960,  -43,  -82,,    3
39,2021-02-09,USW00003960,  -66,  -99,,    0
40,2021-02-10,USW00003960,  -66,  -99,,    5
41,2021-02-11,USW00003960,  -49,  -99,    0,    0
42,2021-02-12,USW00003960,  -60, -132,,    0
