,DATE,STATION,SNOW,TMAX,TMIN,PRCP
0,2021-01-01,USW00013994,    0,   22,  -10,  198
1,2021-01-02,USW00013994,    0,   11,    0,    0
2,2021-01-03,USW00013994,    0,   39,  -16,    0
3,2021-01-04,USW00013994,    0,   33,  -10,    0
4,2021-01-05,USW00013994,    0,  106,  -16,    0
5,2021-01-06,USW00013994,    0,   72,   -5,    0
6,2021-01-07,USW00013994,    0,   39,    6,    0
7,2021-01-08,USW00013994,    0,   17,    6,    0
8,2021-01-09,USW00013994,    0,    6,  -16,    0
9,2021-01-10,USW00013994,    0,  -10,  -21,    0
10,2021-01-11,USW00013994,    0,   33,  -32,    0
11,2021-01-12,USW00013994,    0,  122,  -21,    0
12,2021-01-13,USW00013994,    0,  128,   22,    0
13,2021-01-14,USW00013994,    0,   94,   22,   28
14,2021-01-15,USW00013994,   10,   22,    6,   28
15,2021-01-16,USW00013994,    0,   28,    0,    0
16,2021-01-17,USW00013994,    8,   44,   -5,   10
17,2021-01-18,USW00013994,    0,   67,  -21,    3
18,2021-01-19,USW00013994,    0,   56,  -27,    0
19,2021-01-20,USW00013994,    0,   89,  -55,    0
20,2021-01-21,USW00013994,    0,  122,   11,    0
21,2021-01-22,USW00013994,    0,   28,  -49,    0
22,2021-01-23,USW00013994,    0,   44,  -77,    0
23,2021-01-24,USW00013994,    0,   56,   17,    0
24,2021-01-25,USW00013994,    0,   33,   11,  307
25,2021-01-26,USW00013994,    0,   33,  -10,    0
26,2021-01-27,USW00013994,   58,   -5,  -60,   66
27,2021-01-28,USW00013994,    0,    0, -110,    0
28,2021-01-29,USW00013994,    0,   44,  -66,    0
29,2021-01-30,USW00013994,    0,   72,   17,  318
30,2021-01-31,USW00013994,    0,   83,    6,   13
31,2021-02-01,USW00013994,    0,   11,   -5,    0
32,2021-02-02,USW00013994,    0,   44,  -32,    0
33,2021-02-03,USW00013994,    0,   78,  -43,    0
34,2021-02-04,USW00013994,    0,   67,  -32,   56
35,2021-02-05,USW00013994,    0,   72,  -38,    0
36,2021-02-06,USW00013994,   10,  -10,  -99,   10
37,2021-02-07,USW00013994,    0,  -82, -149,    0
38,2021-02-08,USW00013994,   13,  -49,  -88,   25
39,2021-02-09,USW00013994,    3,  -71, -105,    0
40,2021-02-10,USW00013994,    5,  -71,  -93,   10
41,2021-02-11,USW00013994,    8,  -55,  -99,    8
42,2021-02-12,USW00013994,    0,  -71, -132,    0
43,2021-02-13,USW00013994,   20, -121, -171,    5
44,2021-02-14,USW00013994,    3, -132, -182,    3
45,2021-02-15,USW00013994,  145, -155, -177,  132
46,2021-02-16,USW00013994,    0,  -88, -199,    0
47,2021-02-17,USW00013994,   13,  -71, -143,   10
48,2021-02-18,USW00013994,    5,  -38, -110,    0
49,2021-02-19,USW00013994,    0,    0, -160,    0
50,2021-02-20,USW00013994,    0,   39,  -93,    0
51,2021-02-21,USW00013994,    0,   94,  -27,    3
52,2021-02-22,USW00013994,    0,  133,   22,    0
53,2021-02-23,USW00013994,    0,  189,   33,    0
54,2021-02-24,USW00013994,    0,  144,   22,    0
55,2021-02-25,USW00013994,    0,   94,   -5,    0
56,2021-02-26,USW00013994,    0,  106,  -10,    0
57,2021-02-27,USW00013994,    0,  156,    6,   43
58,2021-02-28,USW00013994,    0,  161,   33,  112
59,2021-03-01,USW00013994,    0,  106,  -16,    0
60,2021-03-02,USW00013994,    0,  150,  -27,    0
61,2021-03-03,USW00013994,    0,  217,   39,    0
62,2021-03-04,USW00013994,    0,  167,   28,    0
63,2021-03-05,USW00013994,    0,  106,   -5,    0
64,2021-03-06,USW00013994,    0,  150,   28,    0
65,2021-03-07,USW00013994,    0,  194,   11,    0
66,2021-03-08,USW00013994,    0,  217,   89,    0
67,2021-03-09,USW00013994,    0,  239,  106,    0
68,2021-03-10,USW00013994,    0,  222,  156,    0
69,2021-03-11,USW00013994,    0,  200,   94,  122
70,2021-03-12,USW00013994,    0,  150,   72,   13
71,2021-03-13,USW00013994,    0,  144,   89,    0
72,2021-03-14,USW00013994,    0,  122,   83,    3
73,2021-03-15,USW00013994,    0,  106,   67,  112
74,2021-03-16,USW00013994,    0,  100,   61,    0
75,2021-03-17,USW00013994,    0,  128,   67,  221
76,2021-03-18,USW00013994,    0,   72,   44,  518
77,2021-03-19,USW00013994,    0,  117,   17,    0
78,2021-03-20,USW00013994,    0,  161,    0,    0
79,2021-03-21,USW00013994,    0,  211,   33,    0
80,2021-03-22,USW00013994,    0,  211,   61,    0
81,2021-03-23,USW00013994,    0,  167,  122,  117
82,2021-03-24,USW00013994,    0,  189,   94,    0
83,2021-03-25,USW00013994,    0,  139,   89,  137
84,2021-03-26,USW00013994,    0,  178,   78,    0
85,2021-03-27,USW00013994,    0,  267,   83,   71
86,2021-03-28,USW00013994,    0,  139,   50,    0
87,2021-03-29,USW00013994,    0,  222,   33,    0
88,2021-03-30,USW00013994,    0,  233,  100,    0
89,2021-03-31,USW00013994,    0,  122,   28,    0
90,2021-04-01,USW00013994,    0,   89,  -10,    0
91,2021-04-02,USW00013994,    0,  133,  -16,    0
92,2021-04-03,USW00013994,    0,  244,   50,    0
93,2021-04-04,USW00013994,    0,  267,  117,    0
94,2021-04-05,USW00013994,    0,  278,  144,    0
95,2021-04-06,USW00013994,    0,  278,  161,    0
96,2021-04-07,USW00013994,    0,  250,  139,  257
97,2021-04-08,USW00013994,    0,  139,  106,    8
98,2021-04-09,USW00013994,    0,  267,   78,    0
99,2021-04-10,USW00013994,    0,  172,   94,  269
100,2021-04-11,USW00013994,    0,  206,  100,   10
101,2021-04-12,USW00013994,    0,  200,   72,    0
102,2021-04-13,USW00013994,    0,  183,   94,   18
103,2021-04-14,USW00013994,    0,  172,   78,    0
104,2021-04-15,USW00013994,    0,  161,   56,    0
105,2021-04-16,USW00013994,    0,  156,   67,    3
106,2021-04-17,USW00013994,    0,  167,   89,   18
107,2021-04-18,USW00013994,    0,  194,   78,    0
108,2021-04-19,USW00013994,    0,  222,   56,    0
109,2021-04-20,USW00013994,   20,   61,    6,   84
110,2021-04-21,USW00013994,    0,  117,  -10,    3
111,2021-04-22,USW00013994,    0,  144,    0,    0
112,2021-04-23,USW00013994,    0,  167,   78,    5
113,2021-04-24,USW00013994,    0,  150,   78,  173
114,2021-04-25,USW00013994,    0,  194,   50,    0
115,2021-04-26,USW00013994,    0,  283,  100,    0
116,2021-04-27,USW00013994,    0,  294,  178,    0
117,2021-04-28,USW00013994,    0,  228,  200,  117
118,2021-04-29,USW00013994,    0,  228,  139,   79
119,2021-04-30,USW00013994,    0,  261,  100,    0
120,2021-05-01,USW00013994,    0,  300,  133,    0
121,2021-05-02,USW00013994,    0,  228,  172,    3
122,2021-05-03,USW00013994,    0,  300,  172,   30
123,2021-05-04,USW00013994,    0,  194,  100,   20
124,2021-05-05,USW00013994,    0,  206,   72,    0
125,2021-05-06,USW00013994,    0,  206,  100,    3
126,2021-05-07,USW00013994,    0,  239,   72,    0
127,2021-05-08,USW00013994,    0,  161,  106,    0
128,2021-05-09,USW00013994,    0,  150,   56,   43
129,2021-05-10,USW00013994,    0,  172,   44,    0
130,2021-05-11,USW00013994,    0,  161,   61,    0
131,2021-05-12,USW00013994,    0,  183,   72,    0
132,2021-05-13,USW00013994,    0,  200,   72,    0
133,2021-05-14,USW00013994,    0,  228,   72,    0
134,2021-05-15,USW00013994,    0,  189,  139,    0
135,2021-05-16,USW00013994,    0,  244,  133,    5
136,2021-05-17,USW00013994,    0,  239,  167,  127
137,2021-05-18,USW00013994,    0,  228,  167,  117
138,2021-05-19,USW00013994,    0,  267,  194,    0
139,2021-05-20,USW00013994,    0,  300,  206,    0
140,2021-05-21,USW00013994,    0,  306,  211,    0
141,2021-05-22,USW00013994,    0,  294,  200,    0
142,2021-05-23,USW00013994,    0,  317,  183,    0
143,2021-05-24,USW00013994,    0,  311,  194,    0
144,2021-05-25,USW00013994,    0,  311,  200,   41
145,2021-05-26,USW00013994,    0,  311,  200,    0
146,2021-05-27,USW00013994,    0,  289,  200,  328
147,2021-05-28,USW00013994,    0,  194,  100,   10
148,2021-05-29,USW00013994,    0,  178,   94,    0
149,2021-05-30,USW00013994,    0,  222,   72,    0
150,2021-05-31,USW00013994,    0,  250,  139,    0
151,2021-06-01,USW00013994,    0,  222,  167,    0
152,2021-06-02,USW00013994,    0,  228,  172,    8
