,lat,name,long,end,start,distance
38648,38.5200,USW00013802,-89.8467,2022,1948,8.744672866319508
23633,39.1025,USC00114489,-90.3431,2022,1940,11.51866778738077
38411,38.5714,USW00003960,-90.1572,2022,1997,12.409347253036863
38774,38.7525,USW00013994,-90.3736,2022,1938,16.931251891331954
26905,38.6853,USC00237398,-90.5233,2022,1975,18.79605821553107
23638,37.9836,USC00114629,-89.9469,2022,1974,20.72643400220058
26904,38.8142,USC00237397,-90.5139,2022,1893,27.25685235594301
38415,38.6572,USW00003966,-90.6558,2022,1987,27.31646758769424
23536,39.2881,USC00111280,-89.8697,2022,1893,30.078497626453945
26962,38.6989,USC00238805,-90.6828,2022,1957,30.5731876303124
